"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-17;2026-07-17
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-17;"2026-07-18 al 2026-07-20";9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;748;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;748
2026-07-17;"2026-07-18 al 2026-07-20";9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;21.604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;21.604
2026-07-17;"2026-07-18 al 2026-07-20";9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;294
2026-07-17;"2026-07-18 al 2026-07-20";9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;178.322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;178.322
2026-07-17;"2026-07-18 al 2026-07-20";9,8000;-;-;-;-;-;-;-;-;-;-;1;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;44
2026-07-17;"2026-07-18 al 2026-07-20";9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;14.969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14.969
2026-07-17;"2026-07-18 al 2026-07-20";10,2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;9.563;-;-;32;9.563
2026-07-17;"2026-07-18 al 2026-07-20";10,2400;-;-;-;-;-;-;-;-;-;-;-;-;1;1.109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.109
2026-07-17;"2026-07-18 al 2026-07-20";10,3500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;15.500;-;-;-;-;5;15.500
2026-07-17;"2026-07-18 al 2026-07-20";10,4000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;101;1;101
2026-07-17;"2026-07-18 al 2026-07-20";10,5000;-;-;-;-;-;-;-;-;-;-;-;-;1;1.521;1;0;-;-;-;-;-;-;-;-;1;11.292;1;10;4;12.823
2026-07-17;"2026-07-18 al 2026-07-20";10,5300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-07-17;"2026-07-18 al 2026-07-20";10,5400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1
2026-07-17;"2026-07-18 al 2026-07-20";10,5500;-;-;-;-;-;-;-;-;-;-;-;-;126;132.668;153;957.274;127;318.391;-;-;-;-;-;-;-;-;-;-;406;1.408.333
2026-07-17;"2026-07-18 al 2026-07-20";10,5700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-07-17;"2026-07-18 al 2026-07-20";10,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;498.500;-;-;-;-;-;-;-;-;-;-;1;498.500
2026-07-17;"2026-07-18 al 2026-07-20";10,6300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000;-;-;-;-;-;-;-;-;-;-;1;100.000
2026-07-17;"2026-07-18 al 2026-07-20";10,6500;82;219.962;31;15.128;10;9.840;33;19.890;24;5.701;2;605;-;-;-;-;-;-;9;1.485;-;-;-;-;-;-;-;-;191;272.611
2026-07-17;"2026-07-18 al 2026-07-20";10,7000;1;17.100;1;10.000;-;-;-;-;-;-;-;-;12;5.802;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;15;132.902
2026-07-17;"2026-07-18 al 2026-07-20";10,7100;-;-;-;-;-;-;-;-;-;-;-;-;12;843.289;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;843.289
2026-07-17;"2026-07-18 al 2026-07-20";10,7400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;63.219;-;-;-;-;-;-;-;-;-;-;125;63.219
