"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-10;2026-09-10
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-10;2026-09-11;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;8.617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8.617
2026-09-10;2026-09-11;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;56.272;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;56.272
2026-09-10;2026-09-11;9,8000;-;-;-;-;-;-;-;-;-;-;-;-;44;16.007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;16.007
2026-09-10;2026-09-11;9,8039;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5
2026-09-10;2026-09-11;9,8046;-;-;-;-;-;-;-;-;-;-;-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7
2026-09-10;2026-09-11;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;1.604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.604
2026-09-10;2026-09-11;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;1;14.900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14.900
2026-09-10;2026-09-11;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-
2026-09-10;2026-09-11;11,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168;423.107;-;-;-;-;-;-;-;-;-;-;168;423.107
2026-09-10;2026-09-11;11,2000;-;-;-;-;-;-;-;-;-;-;-;-;2;3.814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3.814
2026-09-10;2026-09-11;11,3000;1;190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;5.232;37;5.422
2026-09-10;2026-09-11;11,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;299.975;1;76.970;2;376.945
2026-09-10;2026-09-11;11,5200;-;-;529;311.144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;529;311.144
2026-09-10;2026-09-11;11,5500;1;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;26
2026-09-10;2026-09-11;11,6000;1;50.000;-;-;-;-;36;75.274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;125.274
2026-09-10;2026-09-11;11,7000;3;324.080;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;3;159.855;-;-;7;483.935
2026-09-10;2026-09-11;11,7200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97;315.790;-;-;-;-;-;-;-;-;-;-;97;315.790
2026-09-10;2026-09-11;11,7500;1;299.981;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;299.981
2026-09-10;2026-09-11;11,7700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;85.128;-;-;1;85.128
2026-09-10;2026-09-11;11,8000;1;100.000;-;-;-;-;59;821.036;-;-;1;100;-;-;-;-;-;-;-;-;-;-;-;-;44;209.574;-;-;105;1.130.710
2026-09-10;2026-09-11;11,8300;-;-;-;-;-;-;-;-;-;-;-;-;1;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;56
2026-09-10;2026-09-11;11,8500;9;1.324.917;-;-;-;-;-;-;-;-;-;-;2;776.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;2.100.917
2026-09-10;2026-09-11;11,8700;1;108.675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;108.675
2026-09-10;2026-09-11;11,9000;14;3.490.795;-;-;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;50.325;-;-;16;4.041.120
2026-09-10;2026-09-11;11,9200;1;300.000;-;-;-;-;-;-;22;58.467;-;-;-;-;353;1.901.911;-;-;-;-;-;-;-;-;-;-;-;-;376;2.260.379
2026-09-10;2026-09-11;11,9500;5;2.041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2.041
2026-09-10;2026-09-11;11,9700;1;299.925;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;299.925
2026-09-10;2026-09-11;12,0000;55;148.236;-;-;-;-;-;-;1;4.000.000;4;69.730;-;-;-;-;1;6.693;-;-;-;-;-;-;-;-;-;-;61;4.224.659
2026-09-10;2026-09-11;12,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;19.955;1;48.900;-;-;13;2.728;2;7;-;-;-;-;17;71.590
2026-09-10;2026-09-11;12,0500;-;-;-;-;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000
2026-09-10;2026-09-11;12,1000;4;3.791;10;108.383;-;-;-;-;1;10.315;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;222.489
2026-09-10;2026-09-11;12,1200;-;-;-;-;13;55.159;-;-;-;-;-;-;-;-;-;-;-;-;56;93.599;-;-;-;-;1;910.211;-;-;70;1.058.969
2026-09-10;2026-09-11;12,1400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;659;-;-;-;-;-;-;-;-;-;-;-;-;1;659
2026-09-10;2026-09-11;12,2000;-;-;3;24.705;-;-;-;-;-;-;1;22.247;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;46.952
2026-09-10;2026-09-11;12,2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;7.386.046;-;-;-;-;-;-;-;-;-;-;-;-;3;7.386.046
2026-09-10;2026-09-11;12,2600;-;-;-;-;-;-;-;-;-;-;-;-;1;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;106
2026-09-10;2026-09-11;12,2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;19.955;-;-;-;-;-;-;-;-;-;-;-;-;1;19.955
2026-09-10;2026-09-11;12,3000;190;49.175;-;-;-;-;-;-;-;-;1;17.453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;191;66.628
2026-09-10;2026-09-11;12,3200;-;-;1;29.950;-;-;-;-;-;-;3;1.586;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;31.536
2026-09-10;2026-09-11;12,3400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;17.100;-;-;-;-;-;-;-;-;-;-;-;-;1;17.100
2026-09-10;2026-09-11;12,3500;6;8.772;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;8.772
2026-09-10;2026-09-11;12,4000;-;-;-;-;-;-;-;-;-;-;-;-;21;111.942;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;111.942
2026-09-10;2026-09-11;12,4100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;1.176;-;-;-;-;-;-;-;-;-;-;20;1.176
2026-09-10;2026-09-11;12,4200;1;3.380;1;200.000;1;100;-;-;-;-;2;100.002;132;3.651.238;-;-;9;9.742;-;-;-;-;-;-;2;77.588;-;-;148;4.042.050
2026-09-10;2026-09-11;12,4500;-;-;-;-;-;-;-;-;-;-;-;-;4;2.758;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2.758
2026-09-10;2026-09-11;12,5000;13;53.183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;53.183
2026-09-10;2026-09-11;12,5200;-;-;1;103.100;-;-;-;-;-;-;-;-;3;4;7;195.127;-;-;-;-;-;-;-;-;-;-;-;-;11;298.231
2026-09-10;2026-09-11;12,5700;-;-;1;2.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.000
2026-09-10;2026-09-11;12,6000;-;-;-;-;-;-;-;-;-;-;-;-;14;8.892;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;8.892
