fecha_corte,tco_publicado,tco_recalculado,ok
2026-06-26,9.73,9.73,True
2026-06-29,9.76,9.76,True
2026-06-30,9.76,9.76,True
2026-07-01,9.78,9.78,True
2026-07-02,9.8,9.8,True
2026-07-03,9.83,9.83,True
2026-07-06,9.89,9.89,True
2026-07-07,9.96,9.96,True
2026-07-08,10.1,10.1,True
2026-07-09,10.24,10.24,True
2026-07-10,10.4,10.4,True
2026-07-13,10.5,10.5,True
2026-07-14,10.7,10.7,True
2026-07-15,10.75,10.75,True
2026-07-17,10.85,10.85,True
2026-07-20,10.9,10.9,True
2026-07-21,11.0,11.0,True
2026-07-22,11.13,11.13,True
2026-07-23,11.21,11.21,True
2026-07-24,11.37,11.37,True
2026-07-27,11.54,11.54,True
2026-07-28,11.8,11.8,True
2026-07-29,11.89,11.89,True
2026-07-30,12.15,12.15,True
2026-07-31,12.13,12.13,True
2026-08-03,12.08,12.08,True
2026-08-04,12.02,12.02,True
2026-08-05,11.86,11.86,True
2026-08-10,11.77,11.77,True
2026-08-11,11.71,11.71,True
2026-08-12,11.66,11.66,True
2026-08-13,11.62,11.62,True
2026-08-14,11.58,11.58,True
2026-08-17,11.55,11.55,True
2026-08-18,11.52,11.52,True
2026-08-19,11.52,11.52,True
2026-08-20,11.52,11.52,True
2026-08-21,11.5,11.5,True
2026-08-24,11.54,11.54,True
2026-08-25,11.57,11.57,True
2026-08-26,11.71,11.71,True
2026-08-27,11.83,11.83,True
2026-08-28,11.92,11.92,True
2026-08-31,12.12,12.12,True
2026-09-01,12.26,12.26,True
2026-09-02,12.32,12.32,True
2026-09-03,12.45,12.45,True
2026-09-04,12.58,12.58,True
2026-09-07,12.6,12.6,True
2026-09-08,12.64,12.64,True
2026-09-09,12.42,12.42,True
2026-09-10,12.04,12.04,True
2026-09-11,11.53,11.53,True
2026-09-14,10.99,10.99,True
2026-09-15,10.15,10.15,True
2026-09-16,9.83,9.83,True
2026-09-17,10.01,10.01,True
